Title,Title,Year,Budget,Revenue,Estimated Profit
170,Star Wars: The Force Awakens,2015,"$302,511,950","$2,068,223,624","$1,765,711,674"
220,The Avengers,2012,"$280,425,882","$1,519,557,910","$1,239,132,028"
169,Harry Potter and the Deathly Hallows: Part 2,2011,"$162,630,201","$1,342,000,000","$1,179,369,799"
7,The Lord of the Rings: The Return of the King,2003,"$149,508,532","$1,118,888,979","$969,380,447"
197,Beauty and the Beast,1991,"$343,794,419","$1,262,886,337","$919,091,918"
203,Zootopia,2016,"$182,904,040","$1,023,784,195","$840,880,155"
74,Toy Story 3,2010,"$268,421,873","$1,066,969,703","$798,547,830"
14,The Lord of the Rings: The Two Towers,2002,"$128,514,424","$926,287,400","$797,772,976"
164,Jurassic Park,1993,"$127,593,529","$920,100,000","$792,506,471"
131,Finding Nemo,2003,"$149,508,532","$940,335,536","$790,827,004"
52,The Dark Knight Rises,2012,"$318,665,775","$1,084,939,099","$766,273,324"
4,The Dark Knight,2008,"$251,465,028","$1,004,558,444","$753,093,416"
10,The Lord of the Rings: The Fellowship of the Ring,2001,"$153,681,055","$871,368,364","$717,687,309"
241,Deadpool,2016,"$70,722,895","$783,112,979","$712,390,084"
40,The Lion King,1994,"$88,862,854","$788,241,776","$699,378,922"
104,Inside Out,2015,"$216,079,964","$857,611,174","$641,531,210"
204,Guardians of the Galaxy Vol. 2,2017,"$238,785,084","$863,416,141","$624,631,057"
13,Inception,2010,"$214,737,498","$825,532,764","$610,795,266"
130,The Sixth Sense,1999,"$70,265,306","$672,806,292","$602,540,986"
11,Forrest Gump,1994,"$108,610,155","$677,945,399","$569,335,244"
200,Guardians of the Galaxy,2014,"$210,155,405","$773,328,629","$563,173,224"
108,Logan,2017,"$115,810,766","$616,801,808","$500,991,042"
223,The Martian,2015,"$133,352,206","$630,161,890","$496,809,684"
91,Up,2009,"$238,721,642","$735,099,082","$496,377,440"
26,Interstellar,2014,"$203,974,363","$675,120,017","$471,145,654"
243,Aladdin,1992,"$58,405,844","$504,050,219","$445,644,375"
202,Jaws,1975,"$38,077,788","$470,654,000","$432,576,212"
205,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"$222,672,282","$655,011,224","$432,338,942"
107,La La Land,2016,"$36,580,808","$445,435,700","$408,854,892"
230,The King's Speech,2010,"$20,131,640","$414,211,549","$394,079,909"
224,The Exorcist,1973,"$52,730,630","$441,306,145","$388,575,515"
182,"Monsters, Inc.",2001,"$190,035,714","$562,816,256","$372,780,542"
238,The Revenant,2015,"$166,690,258","$532,950,503","$366,260,245"
88,Indiana Jones and the Last Crusade,1989,"$113,285,806","$474,171,806","$360,886,000"
250,Slumdog Millionaire,2008,"$20,389,056","$377,910,544","$357,521,488"
24,Saving Private Ryan,1998,"$125,680,061","$481,840,909","$356,160,848"
17,The Matrix,1999,"$110,667,857","$463,517,383","$352,849,526"
237,Rain Man,1988,"$61,845,942","$412,800,000","$350,954,058"
183,The Bourne Ultimatum,2007,"$98,802,220","$442,824,138","$344,021,918"
32,Raiders of the Lost Ark,1981,"$57,951,485","$389,925,971","$331,974,486"
54,American Beauty,1999,"$26,349,489","$356,296,601","$329,947,112"
38,Back to the Future,1985,"$51,676,998","$381,109,762","$329,432,764"
119,Gone with the Wind,1939,"$84,217,266","$400,176,459","$315,959,193"
78,Toy Story,1995,"$57,609,251","$373,554,033","$315,944,782"
37,Terminator 2: Judgment Day,1991,"$214,871,512","$520,000,000","$305,128,488"
49,Django Unchained,2012,"$127,466,310","$425,368,238","$297,901,928"
138,Gone Girl,2014,"$75,408,704","$369,330,363","$293,921,659"
39,Gladiator,2000,"$175,049,157","$457,640,427","$282,591,270"
6,Schindler's List,1993,"$44,556,470","$321,365,567","$276,809,097"
53,WALL·E,2008,"$244,668,676","$521,311,860","$276,643,184"
134,How to Train Your Dragon,2010,"$221,448,045","$494,878,759","$273,430,714"
179,Catch Me If You Can,2002,"$84,591,773","$352,114,312","$267,522,539"
116,The Wolf of Wall Street,2013,"$125,626,188","$392,000,694","$266,374,506"
19,Se7en,1995,"$63,370,177","$327,311,859","$263,941,682"
21,The Silence of the Lambs,1991,"$40,825,587","$272,742,922","$231,917,335"
125,Gran Torino,2008,"$44,855,923","$269,958,228","$225,102,305"
79,Inglourious Basterds,2009,"$95,488,656","$319,131,050","$223,642,394"
207,The Imitation Game,2014,"$17,306,915","$233,555,708","$216,248,793"
112,A Beautiful Mind,2001,"$99,149,068","$313,542,341","$214,393,273"
86,Good Will Hunting,1997,"$18,233,956","$225,933,435","$207,699,479"
2,The Godfather,1972,"$42,007,894","$245,066,411","$203,058,517"
8,Pulp Fiction,1994,"$15,797,840","$213,928,762","$198,130,922"
211,Dead Poets Society,1989,"$38,705,983","$235,860,116","$197,154,133"
160,Mad Max: Fury Road,2015,"$185,211,398","$378,858,340","$193,646,942"
141,Shutter Island,2010,"$107,368,749","$294,804,195","$187,435,446"
77,Baby Driver,2017,"$40,593,464","$224,511,319","$183,917,855"
30,The Green Mile,1999,"$105,397,959","$284,600,000","$179,202,041"
163,Million Dollar Baby,2004,"$46,477,766","$216,763,646","$170,285,880"
158,12 Years a Slave,2013,"$25,125,237","$187,000,000","$161,874,763"
35,The Departed,2006,"$130,649,553","$289,847,354","$159,197,801"
168,The Truman Show,1998,"$107,725,766","$264,118,201","$156,392,435"
90,Batman Begins,2005,"$224,773,425","$374,218,673","$149,445,248"
159,The Grand Budapest Hotel,2014,"$37,086,247","$174,600,318","$137,514,071"
133,No Country for Old Men,2007,"$35,286,507","$171,600,000","$136,313,493"
56,Aliens,1986,"$49,398,882","$183,316,455","$133,917,573"
137,Kill Bill: Vol. 1,2003,"$47,715,489","$180,949,000","$133,233,511"
93,Unforgiven,1992,"$29,202,922","$159,157,447","$129,954,525"
118,Hacksaw Ridge,2016,"$48,774,410","$175,302,354","$126,527,944"
198,Lion,2016,"$14,632,323","$140,302,754","$125,670,431"
73,The Sting,1973,"$36,252,308","$159,616,327","$123,364,019"
145,Platoon,1986,"$16,021,259","$138,530,565","$122,509,306"
233,JFK,1991,"$85,948,604","$205,405,498","$119,456,894"
199,Twelve Monkeys,1995,"$56,649,097","$168,840,000","$112,190,903"
175,Rocky,1976,"$5,143,321","$117,235,147","$112,091,826"
216,Sin City,2005,"$59,939,580","$158,733,820","$98,794,240"
15,One Flew Over the Cuckoo's Nest,1975,"$16,319,052","$108,981,275","$92,662,223"
193,The Help,2011,"$32,526,040","$124,272,124","$91,746,084"
232,The Graduate,1967,"$26,286,377","$104,945,305","$78,658,928"
97,Heat,1995,"$115,218,503","$187,436,818","$72,218,315"
61,Braveheart,1995,"$138,262,204","$210,000,000","$71,737,796"
98,Die Hard,1988,"$69,267,455","$140,767,956","$71,500,501"
208,Young Frankenstein,1974,"$16,621,379","$86,273,333","$69,651,954"
80,Snatch,2000,"$16,995,063","$83,557,872","$66,562,809"
177,Prisoners,2013,"$57,788,046","$122,126,687","$64,338,641"
154,Spotlight,2015,"$24,694,853","$88,346,473","$63,651,620"
33,The Pianist,2002,"$56,936,770","$120,072,577","$63,135,807"
85,L.A. Confidential,1997,"$63,818,847","$126,216,940","$62,398,093"
46,Alien,1979,"$44,341,666","$104,931,801","$60,590,135"
191,The Terminator,1984,"$18,026,871","$78,371,200","$60,344,329"
152,Butch Cassidy and the Sundance Kid,1969,"$47,845,504","$102,308,889","$54,463,385"
41,The Prestige,2006,"$58,066,468","$109,676,311","$51,609,843"
115,V for Vendetta,2005,"$80,918,433","$132,511,035","$51,592,602"
129,Fargo,1996,"$13,056,628","$60,611,975","$47,555,347"
143,Rush,2013,"$47,737,951","$90,247,624","$42,509,673"
135,There Will Be Blood,2007,"$35,286,507","$77,208,711","$41,922,204"
192,Groundhog Day,1993,"$29,569,294","$70,906,973","$41,337,679"
